file_name,cov_value,,,,,,,
T202496_169aa-1,726.312,,,,,,,
T202496_169aa-2,798.157,,,,,,,
T202496_169aa-3,783.323,,,,,,,
T202496_169aa-4,626.243,,,,,,,
T202496_169aa-5,592.034,,,,,,,
T202496_169aa-8,634.031,,,,,,,
T202496_169aa-F1-1,753.426,,,,,,,
T202496_169aa-F1-2,807.369,,,,,,,
T202496_169aa-F1-3,869.57,,,,,,,
T202496_169aa-F1-5,1016.153,,,,,,,
T202496_169aa-F1-6,948.817,,,,,,,
T202496_169aa-F1-9,937.267,,,,,,,
T202496_75aa-1,709.945,,,,,,,
T202496_75aa-2,658.795,,,,,,,
T202496_75aa-3,597.049,,,,,,,
T202496_75aa-5,602.085,,,,,,,
T202496_75aa-6,630.04,,,,,,,
T202496_75aa-F1-3,648.005,,,,,,,
T202496_75aa-F1-5,623.497,,,,,,,
T202496_75aa-F1-6,809.818,,,,,,,
T202496_75aa-F1-7,770.711,,,,,,,
T202496_75aa-F1-8,787.936,,,,,,,
T202496_DCA1-1,632.775,,,,,,,
T202496_DCA1-2,660.799,,,,,,,
T202496_DCA1-3,775.019,,,,,,,
T202496_DCA1-4,706.323,,,,,,,
T202496_fon4CA1-3,647.334,,,,,,,
T202496_fon4CA1-4,670.376,,,,,,,
T202496_fon4DCA-1,513.099,,,,,,,
T202496_fon4DCA-3,478.932,,,,,,,
T202496_fon4DCA-5,746.013,,,,,,,
T202496_fon4DCA-6,623.376,,,,,,,
T202496_fon4F1-1,616.627,,,,,,,
T202496_fon4F1-2,547.537,,,,,,,
T202496_fon4F1-3,602.475,,,,,,,
T202496_fon4F1-4,713.921,,,,,,,
T202496_fon4F1-5,686.58,,,,,,,
T202496_fon4F1-6,576.604,,,,,,,
T202496_fon4XCA-5,711.584,,,,,,,
T202496_fon4XCA1-1,634.976,,,,,,,
T202496_fon4XCA1-2,725.95,,,,,,,
T202496_fon4XCA1-4,569.269,,,,,,,
T202496_fon4XCA1-6,667.721,,,,,,,
